辨識碼,卦序,卦名,組成,卦名白話翻譯,卦名解釋,卦辭,卦辭白話解釋,建議,運勢,愛情,考試,求職
111111,1,乾,天,剛健穩固。,表示極陽之象，為純卦、六沖卦，是大好、大壞的卦象。對事一般為吉象，為主管、負責任，可以任用擔當大事，或開業當老闆，得此卦都屬吉象，只是必須有一個好的助理更佳，能升官、考試、升遷都較有利。,乾，元亨利貞。,匯聚了良好條件（大亨通），宜於堅定守正。,得此卦者在能力上並不是問題，最大的問題在於「時機」與自己的應變力。建議凡事不要過於固執，最好要能見機行事，隨機應變，做事要有彈性。,有地位擢升、名利雙收之象，功名榮顯得貴子。六親和睦，凡事謙和為貴，可吉。,彼此之間切勿逞強，摒除自我主義的觀念方可成就，但常有鬧意見之情況。,有望。,有貴人提拔，可發展，稱心。
222222,2,坤,地,在母胎裡孕育中。,表大地為母，天生之母性也。六沖純卦。主大好大壞之卦象。優點為如母親般地柔順、犧牲、付出，有事事和順之意。缺點為過於委缺求全，沒有了自己的想法和觀念。此卦論感情，有前世因緣的影響，自己就有如母親大姊般地照顧對方，無怨無悔，會很辛苦、多勞累。事業，適合當任副手之職位，忌任主事者，容易軟弱難成事。,坤，元亨，利牝馬之貞。君子有攸往，先迷，後得主利。西南得朋，東北喪朋，安貞吉。,坤，匯聚了許多良好條件（大亨通），宜於效法母馬的堅定美德。君子要遠行，求快而走在前頭則會迷路，若跟隨於人後則可以因此得到主人指引之利。往西南方會得到錢財或志同道合的朋友，往東北則會遺失錢財或失去朋友，安定則吉。,謙卑退讓者有福，過於積極主動者反而一無所成。對於立定志向想做的事，應該要持之以恒，堅持到底，則可成功，操之過急，易致失敗。利於追隨於人，不適於自己獨當一面。,諸事不宜急進，退守以靜制動者吉。坤者大地平靜，任其他物所摧而不為所動者大利也。若醉心私慾，違背常理，則有無情之災。,男主動，女主靜，緩進可成，急則有失。,希望不大。,不稱意亦不理想，另尋。
212221,3,屯,水雷,不明不白,表剛出生的小草。主凶象。四大難卦第一卦。因為剛出生的小草，脆弱易折，表示凡事都會很困難，很容易就會夭折、失敗。但是只要有心小心地護持，小草還是有機會長成大樹的！,屯，元亨利貞，勿用有攸往，利建侯。,駐留在原地，匯聚了許多良好條件，宜於堅定守正。不要有遠行，利於建立諸侯。,屯卦代表?困難?，但不代表失敗。如果能夠屯積實力，走過?凡事起頭難?的階段，未來仍是無可限量。,逆勢，多有困惑，但不可妄進，宜守不宜進。堅定意志，凡事不可為一己之利而執意強行，皆有不成損破之象。宜步步為營，排除困難，始可通達。有初難後解之象。,不妥協，或已暫時失去連絡，否則就是出現不良狀況而有所阻礙，成就有困難也。而此卦男人得利，女人失利。,不理想。,不利。
122212,4,蒙,山水,被蒙蔽、被欺瞞。,表被蒙蔽不明之意。主小凶象。事情迷濛不明，不宜輕信於人，此卦易犯小人，需誠心求教於有智慧經驗的友人長者，受其啟蒙開智慧，方能轉危而安。若是一意而行必現大凶象。,蒙，亨，匪我求童蒙，童蒙求我。初筮告，再三瀆，瀆則不告，利貞。,蒙昧不懂事，亨通。不是我去求童蒙之人，而是童蒙不懂事的人來求我。第一次的筮問會告訴答案，同一件事再有第二次、第三次的筮問，那麼就是褻瀆，褻瀆則不會告訴答案。利於貞定。,能力不足以處理危機，最好的策略是向有經驗與智慧的人請益。但請益之前請先做好準備，誠心前往，避免繁鎖而一問再問的情況。,氣運不發，多迷惑。初時不順，須忍耐待機，漸可佳。切勿貿然行事或為人認保、作保，否則必有損失。凡事宜從上輩教誨，則運可通也。,此卦為未啟蒙之卦，致落花有意而流水無情。主要是缺乏勇氣與決心，致不成事也。若有成，此卦亦主勞碌耳。,不理想。,未能如願，再等時機。
212111,5,需,水天,需要等待時機。,表需要、需求，但卻又是時機未到而著急著。此卦凶中帶吉，需耐心等待，則事情可成。健康，要特別注意，此卦為「遊魂卦」。,需，有孚，光亨，貞吉，利涉大川。,等待，有誠信則能夠光明而嘉會。貞定為吉，亦宜於涉大川。,需卦是藏有危機的一卦，雖然你的能力足以化險為夷，但仍不宜妄動，靜待佳機才是比較好的策略。,宜退守正道，不宜冒險前進，投機急取反而失利。須知貪小失大，智者必須待時也。,起初不如意，有耐心者方可成就，否則不成也。,要多用功。,不宜急取，急亦不得，再等待，再尋求。
111212,6,訟,天水,官司纏訟。,表訴訟、爭端之象。主大凶象。事情衝突必須到見官上法院，可能必須以法律途徑來解決了！凡事皆不利，而且已引起很大口舌是非爭持，而必須攤牌互相攻擊的程度了！,訟，有孚窒惕，中吉，終凶。利見大人，不利涉大川。,有誠信，鬱悶而恐懼。中庸則吉，若是讓訴訟走到底則凶。利於拜見大人，不利於涉險過大河。,注意福禍相倚，得未必是福，失未必是禍。你的堅持是很危險的，凡事不要走極端，不要頑強固執。能夠放棄爭訟則吉，平安是福；若是一意爭取到底，既使贏了也會召來後續的禍害。,百事閉塞不通，傷害頻繁，受中傷而又易陷於奸計，不如意之運也。得饒人處且饒人，得過且過，莫再爭訟，否則皆不利也。,多事之時，是非頻頻，受中傷不易成也。,不理想。很差。,難成。
222212,7,師,地水,但要師出有名,表軍隊打仗強烈抗爭之意。主大凶象。師亦為「師長、老師」，是為強烈教訓的現象，若在事、在人，均表示會受到很大教訓、挫折。或是與人結怨甚深而遭到其強力的打擊、迫害。,師貞，丈人吉，?咎。,出師以正，長者吉，沒有罪咎。,帶兵打仗首先要師出有名，其次用人則是要找老成持重，有豐富疆場經驗者為宜。無經驗者絕不可用。,事雖有不順、但要引以為鏡，記取教訓。不要圖私利而投機取巧。凡事應以正規而行，事物多變動，切忌獨立而行。困難多端，靠自己努力，摒除一切困難為上策。,慎防感情引起的衝突、傷害，難再有成。,很認真，但不理想，繼續努力終有成就。,獨立無望，有人扶持則可。
212222,8,比,水地,平等、比合。,表兄友比肩而站，一片融合互持、比和之意。主吉象。水溶入土中、膠和在一起，是個很親密的卦象，尤其是論男女之情。事業投資有親密的伙伴相助，共同扶持打拼，事事當然越佳順利進行。,比，吉。原筮，元永貞，?咎。不寧方來，後夫凶。,筮問親比之事，得吉。原田之象的問筮結果，大善而長久堅定，不會有罪咎。動亂不安的方國也都歸順而來，最後遲遲不來者，大凶。,比道貴在能夠發自內心的積極，表現在外的則是當仁不讓，不落人後。只要積極表現出你的誠意，就能受到青睞。,運氣平順，與人相親處事則吉。可獲貴人提拔，但不可得志而非份橫行急進，否則遭破遜也。,兩相情悅，可得良緣。,金榜題名。,有貴人，可有利。
112111,9,小畜,風天,稍有積蓄。,表小有積蓄。是個小吉卦，事事不可貪大，投資理財均需保守為佳。健康無礙平順。,小畜，亨，密雲不雨，自我西郊。,小積畜，匯聚良好之條件。雖然雲層很厚，但卻遲遲不下雨，雲從家鄉西邊的郊區聚集而來。,未來充滿不確定，當今之計可以退守，放下遠大的目標，活在當下，選擇眼前立即就可達成的小目標。,有蓄聚、阻止之意。一陰畜五陽，雖有雲雨而不下，雨之不下，大地不能得到滋潤，故此運勢有反覆、有口舌、又難以急調，諸事宜忍耐，等待時機。尤其女人得此卦更應在行為上，對事或對人有所節制。,語言不和，意見分歧，不太如意。,不理想。,希望渺小。
111211,10,履,天澤,只要履行契約承諾則吉。,表戰戰兢兢、如履薄冰而行，卻是有驚無險。為小凶帶吉之象。履又為「禮」也。得此卦者，需盡快反省自己的態度，對人、對事、對長輩是否有輕忽、不敬之意。雖有危急之事幸好能平安度過。,履虎尾，不咥人，亨。,踩老虎尾，老虎不咬人，亨。,凡事必需謹慎小心，戒慎恐懼，如履薄冰，一切照規矩來，則可以亨通。要特別注意人與人的關係上，必需清楚分辨尊卑上下的份際，嚴守其應對之道。,有先勞後逸、始驚後安之意，雖有繁華，卻又反覆不和，故得此卦時為憂慮受危中而望喜渺。但謙虛反省請教於長者則吉。,相愛，但阻礙很多，雖然不易成功，但亦有以誠、禮相待而成婚姻者。,有望。,有貴人提拔，可發展，稱心。
222111,11,泰,地天,否極泰來，鴻運當頭。,表三陽開泰，萬事亨通。吉卦之象。諸事皆順。,泰，小往大來，吉亨。,小人離去，大人歸來。吉而嘉會。,雖然一切順利，萬事如意。但人無遠慮，必有近憂。對於事情的發展應當有防患於未然的遠見，則可長保安泰。反之，若不知守成不易，防患未然，則泰極否來，吉之後很快就會轉為凶。,諸事如意吉祥，前途事業均順利。切不可驕傲或任意從事，亦宜自惕勿太活躍，始能免於災難。凡事宜求內在之實，不求外在之虛，否則有破。,情投意合，良緣。勿任性，以維持吉象，反之則招破。,上榜有望，宜再努力勿懈。,吉利亨通。
