辨識碼,卦序,卦名,爻辭,白話解析
1111111,1,乾,初九，潛龍，勿用。,潛藏的龍，切勿有任何作為。當養精畜銳的時候，凡事應當靜待時機，不宜行事，切勿躁進。
2111111,1,乾,九二，見龍在田，利見大人。,龍出現在田間，利於去拜見大人物。龍已出現在田間，象徵事情已出現端倪，不再潛藏。這時最好能積極主動，求見有權位的大人。
3111111,1,乾,九三，君子終日乾乾，夕惕若，厲无咎。,君子整日努力不懈怠，埋頭苦幹，夜晚更要自我反省警惕，艱難困苦，沒有罪咎。九三君子開始做事，但凡事起頭難，因此「終日健健，夕惕若」。若能夠忍受艱難困苦，則能免於罪咎。反之，若是怠慢以對，那麼就會有罪咎。
4111111,1,乾,九四，或躍在淵，无咎。,或許能夠躍出深不見底的水潭，沒有罪咎。九四則是嘗試突破的時候，因此說「或」，代表不確定。「躍」為突破的舉動，「或躍」就是嘗試突破現狀。
5111111,1,乾,九五，飛龍在天，利見大人。,飛翔的龍在天上，利於見有德位的大人。
6111111,1,乾,上九，亢龍有悔。,高傲的龍，會有悔恨。
1222222,2,坤,初六，履霜，堅冰至。,腳下踩著秋霜，顯示寒冬已近，將會結成堅硬的冰。霜為秋天之象，堅冰為嚴冬之象。腳踩秋天的霜就知道寒氣已在凝聚，嚴冬即將來臨。比喻凡事順勢而為，則可長久而堅定，積久而日漸成功。另一解讀為，告戒君子要防微杜漸，見微知著。
2222222,2,坤,六二，直方大，不習无不利。,正直、方正，而大度能容，天生有此德，不待學習，無所不利。
3222222,2,坤,六三，含章可貞，或從王事，无成有終。,內含文章之美而可以以此安定自守，但或者也可以選擇跟隨於王者做事，雖不能有所成就但也可以有個歸宿。
4222222,2,坤,六四，括囊，无咎无譽。,將袋口綁緊，比喻人應當謹言慎行，以求得沒有罪咎。六四為近於君位的多憂之地，因此只能戰戰競競，謹慎小心，以求得不犯錯，不要希求會得到任何的讚賞。
5222222,2,坤,六五，黃裳，元吉。,黃色下裙，大吉。黃為中色，黃裳比喻性情柔順而中庸。六五柔中，又處尊位，有美德而能自然表現於外。
6222222,2,坤,上六，龍戰于野，其血玄黃。,龍在野外打鬥相爭不下，兩敗俱傷，流出的血與泥土相混雜而成玄黃色。此比喻人未能一開始就辨明正邪，剛愎自用，最終疑心致極而引發爭端。另一比喻為小人居君子位，為惡多端，最終事態敗露而引來災難，窮途而沒路。
1212221,3,屯,初九，磐桓，利居貞，利建侯。,有磐石及大柱，根基及基礎非常穩固，宜於貞定，利於建立諸侯。這一爻為屯卦最開始的時候，此時正是建立根本，穩定基礎的時機。震為動，動處於內而不進，外有坎，互卦有艮，為動而不進之象。
2212221,3,屯,六二，屯如邅如，乘馬班如，匪寇婚媾。女子貞不字，十年乃字。,人馬聚集而盤旋不進，騎著馬在原地打轉。來者不是盜賊，而是來求婚者。女子因為守貞，因此一直未能懷孕生子。十年之後，才終於婚合而懷孕生子。十年比喻事情之艱難，需要長久等待與經營。而前面之乘馬則隱喻「馬上」求成之急切，但反而因此而被誤會為盜賊來犯，或者被認為是來逼婚，導致遭受懷疑而遇到了更大的困難。此比喻事情不能急切。
3212221,3,屯,六三，即鹿无虞，惟入于林中。君子幾不如舍，往吝。,到山林裡打獵，沒有守山林的人帶路就貿然進入，其危險可知。最好能知難而退。若一意前往，將自取其咎。
4212221,3,屯,六四，乘馬班如，求婚媾，往吉，无不利。,騎著馬在原地打轉，想要求婚合。勇往直前則吉，無所不利。
5212221,3,屯,九五，屯其膏，小貞吉，大貞凶。,屯積美食自己享用，問小事則吉，若是問大事則凶。
6212221,3,屯,上六，乘馬班如，泣血漣如。,騎著馬在原地打轉乾著急，痛哭流涕至於泣血不止。
1122212,4,蒙,初六，發蒙，利用刑人。用說桎梏，以往吝。,啟發蒙昧無知的人，使其明白事理。宜於實施刑罰於人，以刑罰為教育之手段。如果反過來赦免他們，讓他們脫掉腳鐐和手銬，以此縱容下去會造成悔恨。
2122212,4,蒙,九二，包蒙吉，納婦吉，子克家。,包容童蒙，吉。娶媳婦吉，兒子能夠承擔家庭責任。具有包容及中庸之美德。卜婚姻大吉，適於娶媳婦；有能幹的兒子能夠幫助持家。
